"ra_number","date_of_survey","check_out_day","check_in_day","primary_rental_purpose","vehicle_model_description","overall_satisfaction","mechanical_condition_of_vehicle","cleanliness_of_the_vehicle","vehicle_selection_choice","ease_of_pick_up","ease_of_return","would_you_recommend","recommend_comment"
"832203691",2019-07-09,2019-07-03,2019-07-05,"Leisure","SIRMALIBU 1.5 N",,,,,,,,
"832887484",2019-07-09,2019-07-04,2019-07-07,"Leisure","SIR MAXIMA N",10,10,9,6,10,10,10,"Online reservation was easy. Person at counter during during pick up was knowledgeable and helpful. Drop off was easy."
"831190231",2019-07-09,2019-07-01,2019-07-05,"Leisure","SIR SOUL 5D N",10,10,10,9,10,10,10,"Easy check in"
"834462985",2019-07-09,2019-07-07,2019-07-08,"Leisure","SIR 300 3.6 AWN",,,,,,,,
"833779461",2019-07-09,2019-07-05,2019-07-08,"Leisure","RAV4 FWD SUN 2N",7,10,10,6,8,10,8,"There were no cars available at PHC when we arrived. Rented a full sixe and got a mid size suv which was not a nice as Hertz normal full size."
"819269264",2019-07-09,2019-06-28,2019-07-05,"Leisure","VERSA 1.6 N",3,6,6,1,0,5,3,"The full size cars are too small. Too much of a problem adding an additional driver. I had to call the 800 number from the rental desk twice."
"832144390",2019-07-09,2019-07-03,2019-07-08,"Leisure","SIR TERRAINAW1N",3,8,3,6,9,9,2,"There were bugs/insects in the car which kept biting us throughout our trip. I was in an area where the exchange was also not easily possible. Got bites on legs and hands. At the return, there was no one at the counter to help us with the problem so just returned home without any help from anyone."
"831589360",2019-07-09,2019-07-02,2019-07-08,"Leisure","FIT SPORTFWD N",9,8,8,10,7,8,4,"I was disappointed with hidden charges which I did not account for on my budget. Loved the car though. Thank you, Rhona Perkins"
"834606732",2019-07-09,2019-07-07,2019-07-08,"Leisure","SIR SOUL 5D N",9,10,10,8,10,10,10,"Ease of picking the car up - it was already fueled - - just get in and go"
"833809196",2019-07-09,2019-07-05,2019-07-08,"Both Business and Leisure","SIR TERRAINFW1N",,,,,,,,
"819658125",2019-07-09,2019-06-29,2019-07-08,"Leisure","SIR ALTIMA U N",10,9,10,10,10,10,10,"Staff members were friendly and not pushy and made the check-in and check-out process smooth and efficient. Choosing a car from the lot was a nice benefit. We weren't sure how the shuttle system to and from the terminal would be but it was quick and convenient, in spite of the distance."
"833568481",2019-07-09,2019-07-05,2019-07-08,"Leisure","SIR CHARGER 3.N",0,7,0,0,0,0,0,"I didn't receive the type of vehicle I paid for. So I was overcharged for the vehicle I received. The staff wasn't helpful at all. I was told a manager wasn't available for me to speak with. I always rent from this Hertz and never experienced service like this before."
"832083405",2019-07-09,2019-07-03,2019-07-05,"Leisure","SIR YUKONXL4X4N",,,,,,,,
"819154221",2019-07-09,2019-06-28,2019-07-08,"Leisure","SIR QX50 FWD SN",6,8,9,5,4,9,7,"The car i was marketed was not the car I got. 2 cars they tried to put me in had hanging front license plates. One CSR downstairs was rude and unhelpful."
"833351982",2019-07-09,2019-07-05,2019-07-08,"Both Business and Leisure","SIR TAHOE4W7PSN",10,10,10,10,9,10,10,"great customer service and car was very clean."
"832464743",2019-07-09,2019-07-03,2019-07-04,"Leisure","COROLLA N",10,10,10,10,10,10,10,"Being a gold club member, I am able to choose my car and be on the road quickly, without ever going to the desk."
"815939154",2019-07-09,2019-06-24,2019-07-05,"Leisure","SIRMUSTCVGTPREN",8,9,3,5,0,8,0,"The salesperson used deceptive tactics and was very pushy on up selling. The facility didn't have the car we reserved. We had to walk around for about 10 minutes to get a car in over 100 degree heat."
"814522004",2019-07-09,2019-06-22,2019-07-05,"Leisure","SIR GR CRVN2W3N",10,9,9,9,7,10,10,"The speedy process of picking up and especially returning the vehicle."
"819233483",2019-07-09,2019-06-28,2019-07-05,"Both Business and Leisure","SIREQUINOXFWD2N",,,,,,,,
"833011255",2019-07-09,2019-07-04,2019-07-07,"Leisure","SIREQUINOXAWD1N",8,8,8,8,3,8,5,"This new free for all system of going out and picking a car was not a good experience for us. There were very few cars and two did not have keys in them."
"830358896",2019-07-09,2019-06-30,2019-07-05,"Leisure","SIR QX60 AWD SN",9,9,9,10,9,10,6,"was quoted $300+ online -- total final fee was more than double - $700+ we should not have gotten the insurance but really unclear and find it very deceiving - as the hertz personnel highly recommended it since we were in Arizona - I guess they are told to push it but really be clear in your ONLINE quotes that fees can more than double with insurance, etc."
"814406725",2019-07-09,2019-06-22,2019-07-08,"Leisure","SIRSORENTO4W7PN",5,7,7,3,7,9,7,"Vehicle had dents and marks all over. Vehicles should be better taken care of for the price I paid."
"831115784",2019-07-09,2019-07-01,2019-07-05,"Leisure","COMPASS FWD N",8,8,10,8,1,10,7,"I picked out a vehicle in the zone I was permitted and the lady doing the checkout seemed untrained. Took 15 minutes longer than I feel acceptable. I was told I picked a car that would be an additional $15/day. The line that built up behind me became so long that she eventually just let me. I didn't pick out a crazy vehicle, just an unassuming small SUV. Other than that the experience was fine. Felt like the battery needs to be checked out as the car shut off at stop lights."
"835322412",2019-07-09,2019-07-08,2019-07-08,"Business","SENTRA 1.8 N",,,,,,,,
"819812733",2019-07-09,2019-06-29,2019-07-08,"Leisure","SIRTRAV FWD 8PN",0,0,9,0,7,8,0,"You rented me a 2017 Traverse with 45000+ miles. 1. Gaskets on rear windows were failing. 2. Oil change light came on midweek on the rental. 3. Worst of all, the car fob apparently had been misplaced but not replaced, and you only had a conventional key for us. Most of the time, the car alarm went off when we unlocked the car with the conventional key. And periodically the car would lock itself after being parked, including once when the key was still inside the vehicle. It took more than an hour to get through to your Roadside Assistance people and get the vehicle unlocked remotely. Worst experience with one of your vehicles I've had in years."
"831842476",2019-07-09,2019-07-03,2019-07-06,"Leisure","SIR SENTRA 1.8N",,,,,,,,
"832773642",2019-07-09,2019-07-04,2019-07-08,"Leisure","SIRWRAN4D4W3.6N",10,10,10,10,10,10,10,"Hassle free pick up process, new 2019 jeep wrangler 4 door. Sahara unlimited version. We had an issue which is a wrong charge and the staff there helped fix it quickly."
"833781712",2019-07-09,2019-07-05,2019-07-08,"Both Business and Leisure","SIRENCLV FWD 7N",,,,,,,,
"652104493",2019-07-09,2019-06-05,2019-06-06,"Business","SIRMALIBU 1.5 N",7,9,7,0,0,10,1,"No President's circle cars available. Front desk assigned a Chevy Malibu, after a 20 minute wait.Then charged me for the satellite radio, which I have to pay out of my pocket because it is not reimbursable. I do not plan to rent from Hertz again until this is resolved. I have already had 2 National rentals since first trying to contact Hertz. No response after 2 weeks of contact attempts."
"835177792",2019-07-09,2019-07-08,2019-07-09,"Business","SIR QX60 AWD SN",,,,,,,,
"830208956",2019-07-09,2019-06-30,2019-07-07,"Leisure","SIR GR CRVN2W3N",10,10,10,9,6,9,8,"Everything was great. The only thing that wasnt good was that they didnt have my name on the Gold Member board when I got there."
"819209650",2019-07-09,2019-06-28,2019-07-07,"Leisure","SIRFUSHYB2.0SNN",10,10,10,8,10,10,10,"Good service, flexibility, good value."
"830324681",2019-07-09,2019-07-01,2019-07-01,"Other","SIR HIGH AWD8PN",9,10,10,0,10,0,7,"It took them almost a week to process my return and kept charging my card every day. I called multiple times never received a return call or email stating that it had been fixed I just had to look at my account same in every day and pray that they didn't continue to charge me."
"833072170",2019-07-09,2019-07-04,2019-07-08,"Other","SENTRA 1.8 N",10,10,10,8,5,10,9,"Due to heavy demand on day of arrival, had to wait till a returned car was available, nearly an hour, but it was, after all, a holiday before a weekend, so high demand, outstripping projected need was not surprising, and the car, when it arrived was fine and rest of experience was smooth."
"832285915",2019-07-09,2019-07-03,2019-07-08,"Both Business and Leisure","SIRIMPALA5P3.6N",,,,,,,,
